id,name,date,price
0,2022-12-01,1.7
0,2022-12-02,1.69
0,2022-12-03,1.71
0,2022-12-05,1.71
0,2022-12-06,1.71
1,2022-12-01,8.96
1,2022-12-02,8.94
1,2022-12-03,9.04
1,2022-12-05,8.99
1,2022-12-06,9.12
2,2022-12-01,1.53
2,2022-12-02,1.55
2,2022-12-03,1.55
2,2022-12-05,1.55
2,2022-12-06,1.55
3,2022-12-01,5.82
3,2022-12-02,5.8
3,2022-12-03,5.6
3,2022-12-05,6.08
3,2022-12-06,6.12
4,2022-12-01,17.24
4,2022-12-02,17.54
4,2022-12-03,17.76
4,2022-12-05,17.56
4,2022-12-06,17.51
5,2022-12-01,3.44
5,2022-12-02,3.44
5,2022-12-03,3.43
5,2022-12-05,3.44
5,2022-12-06,3.43
6,2022-12-01,0.4
6,2022-12-02,0.4
6,2022-12-03,0.41
6,2022-12-05,0.4
6,2022-12-06,0.41
8,2022-12-01,2.38
8,2022-12-02,2.44
8,2022-12-03,2.48
8,2022-12-05,2.44
8,2022-12-06,2.44
9,2022-12-01,3.74
9,2022-12-02,3.74
9,2022-12-03,3.93
9,2022-12-05,3.76
9,2022-12-06,3.74
10,2022-12-01,4.14
10,2022-12-02,4.13
10,2022-12-03,4.13
10,2022-12-05,3.79
10,2022-12-06,3.82
11,2022-12-01,1.93
11,2022-12-02,1.93
11,2022-12-03,1.92
11,2022-12-05,1.93
11,2022-12-06,1.93
12,2022-12-01,2.61
12,2022-12-02,2.61
12,2022-12-03,2.56
12,2022-12-05,2.61
12,2022-12-06,2.58
13,2022-12-01,5.09
13,2022-12-02,4.63
13,2022-12-03,4.96
13,2022-12-05,5.08
13,2022-12-06,5.08
14,2022-12-01,8.69
14,2022-12-02,8.69
14,2022-12-03,8.62
14,2022-12-05,8.69
14,2022-12-06,8.7
15,2022-12-01,4.73
15,2022-12-02,5.1
15,2022-12-03,5.46
15,2022-12-05,5.01
15,2022-12-06,5.23
16,2022-12-01,2.38
16,2022-12-02,2.4
16,2022-12-03,2.31
16,2022-12-05,2.42
16,2022-12-06,2.47
17,2022-12-01,9.36
17,2022-12-02,9.42
17,2022-12-03,9.62
17,2022-12-05,9.68
17,2022-12-06,9.64
18,2022-12-01,5.65
18,2022-12-02,5.61
18,2022-12-03,5.63
18,2022-12-05,5.63
18,2022-12-06,5.61
19,2022-12-01,1.27
19,2022-12-02,1.32
19,2022-12-03,1.31
19,2022-12-05,1.29
19,2022-12-06,1.29
20,2022-12-01,2.79
20,2022-12-02,2.83
20,2022-12-03,2.82
20,2022-12-05,2.7
